#SampleID,Sample,State,Sample_Site,Collected_Date,Collected_Time,ClassificatioN,Land_use,Ag,P,N,STATION_ID,SAMPLE_DATE.bottle,SAMPLE_DATE.Actual,SAMPLE_TIME,CURRENT_SITE_NAME,CLASS,PH,SPC,BEDROCK.SUBSTRATE,BOULDER.SUBSTRATE,COBBLE.SUBSTRATE,GRAVEL.SUBSTRATE,SAND.SUBSTRATE,SILT.SUBSTRATE,CLAY.SUBSTRATE,VEGETATION.SUBSTRATE,DETRITUS.SUBSTRATE,RIFFLE,POOL,RUN,CASCADE,RAPID,DEADWATER,TOTAL_AREA_AC,TOTAL_AREA_HA,TOTAL_LAND_AREA_AC,TOTAL_LAND_AREA_HA,HIGH_INTENSITY_DEV_AC,HIGH_INTENSITY_DEV_HA,HIGH_INTENSITY_DEV_PCT_TA,HIGH_INTENSITY_DEV_PCT_TLA,MED_INTENSITY_DEV_AC,MED_INTENSITY_DEV_HA,MED_INTENSITY_DEV_PCT_TA,MED_INTENSITY_DEV_PCT_TLA,LOW_INTENSITY_DEV_AC,LOW_INTENSITY_DEV_HA,LOW_INTENSITY_DEV_PCT_TA,LOW_INTENSITY_DEV_PCT_TLA,ALL_DEV_AC,ALL_DEV_HA,ALL_DEV_PCT_TA,ALL_DEV_PCT_TLA,TILLED_AGRICULTURE_AC,TILLED_AGRICULTURE_HA,TILLED_AGRICULTURE_PCT_TA,TILLED_AGRICULTURE_PCT_TLA,GRASSLANDS,GRASSLANDS_AC,GRASSLANDS_HA,GRASSLANDS_PCT_TA,GRASSLANDS_PCT_TLA,UPLAND_WOODY,UPLAND_WOODY_AC,UPLAND_WOODY_HA,UPLAND_WOODY_PCT_TA,UPLAND_WOODY_PCT_TLA,WETLANDS_AC,WETLANDS_HA,WETLANDS_PCT_TA,WETLANDS_PCT_TLA,NONVEGETATED_AC,NONVEGETATED_HA,NONVEGETATED_PCT_TA,WATER_AC,WATER_HA,WATER_PCT_TA,HUMAN_ALTERED,HUMAN_ALTERED_AC,HUMAN_ALTERED_HA,HUMAN_ALTERED_PCT_TA,HUMAN_ALTERED_PCT_TLA,SOURCE_LC_YEAR,NATURAL,NATURAL_AC,NATURAL_HA,NATURAL_PCT_TA,NATURAL_PCT_TLA,EGAD_SEQ.y,IMPERV_AC,IMPERV_HA,IMPERV_PCT_TA,IMPERV_PCT_TLA
#q2:types,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical
ME659b071822,sample,ME,659,7/18/2022,,,,,,,659,7/18/2022,7/18/2022,13:00,BULL BRANCH SUNDAY RIVER - STATION 659,A,6.62,24.1,5,35,35,15,10,0,0,0,0,40,25,30,5,0,0,10922.09044,4420.17,10910.30393,4415.4,0,0,0,0,0.222386953,0.09,0.002036121,0.00203832,3.113417346,1.26,0.028505691,0.00203832,3.335804299,1.35,0.030541812,0.030574806,0,0,0,0,14400,3.558191253,1.44,0.032577933,0.032613127,43687800,10795.10749,4368.78,98.83737503,98.94415002,12.67605634,5.13,0.116058885,0.116184264,0,0,0,11.78650852,4.77,0.107914401,452700,111.8606375,45.27,1.024168754,1.025275173,NLCD2016,43753500,10811.34173,4375.35,98.98601185,99.09294741,57401,0,0,0,0
ME1116b071422,sample,ME,1116,7/14/2022,,,,,,,1116,7/14/2022,7/14/2022,10:30,RICHARDSON BROOK - STATION 1116,A,6.68,28.6,0,20,70,5,5,0,0,0,0,40,10,50,0,0,0,3006.671609,1216.8,2937.286879,1188.72,0,0,0,0,0,0,0,0,4.670126019,1.89,0.155325444,0,4.670126019,1.89,0.155325444,0.158994549,0.444773907,0.18,0.014792899,0.015142338,243900,60.26686434,24.39,2.00443787,2.051786796,10006200,2472.498147,1000.62,82.23372781,84.17625681,385.841364,156.15,12.83284024,13.1359782,0,0,0,69.38472943,28.08,2.307692308,474300,117.1979244,47.43,3.897928994,3.990006057,NLCD2016,11811600,2918.606375,1181.16,97.07100592,99.3640218,0,0,0,0,0
ME944b071322,sample,ME,944,7/13/2022,,,,,,,944,7/13/2022,7/13/2022,10:08,STONE BROOK - STATION 944,B,7.96,1015,0,40,30,0,0,30,0,0,0,70,5,20,5,0,0,2189.621942,886.14,2188.732394,885.78,86.50852483,35.01,3.950842982,3.952448689,135.2112676,54.72,6.175096486,6.177606178,275.7598221,111.6,12.59394678,6.177606178,497.4796145,201.33,22.71988625,22.7291201,0.66716086,0.27,0.030469226,0.030481609,607500,150.1111935,60.75,6.855575868,6.858362122,4624200,1142.624166,462.42,52.18362787,52.20483642,202.5945145,81.99,9.25248832,9.25624873,6.004447739,2.43,0.274334485,0.889547813,0.36,0.040625635,3364200,831.2824314,336.42,37.9646557,37.98008535,NLCD2016,6075900,1501.334322,607.59,68.56591509,68.59378175,0,0,0,0,0
ME620b071122,sample,ME,620,7/11/2022,,,,,,,620,7/11/2022,7/11/2022,15:45,KENNEDY BROOK - STATION 620,B,8.13,972,0,15,40,30,10,5,0,0,0,80,0,20,0,0,0,287.1015567,116.19,287.1015567,116.19,15.56708673,6.3,5.422153369,5.422153369,34.24759081,13.86,11.92873741,11.92873741,49.36990363,19.98,17.19597211,11.92873741,99.18458117,40.14,34.5468629,34.5468629,0,0,0,0,11700,2.891030393,1.17,1.00697134,1.00697134,675000,166.790215,67.5,58.09450039,58.09450039,0,0,0,0,0,0,0,0,0,0,486900,120.3113417,48.69,41.90549961,41.90549961,NLCD2016,686700,169.6812454,68.67,59.10147173,59.10147173,57362,229.4682589,92.8625,29.8202516,29.8202516
ME619b071322,sample,ME,619,7/13/2022,,,,,,,619,7/13/2022,7/13/2022,8:57,STONE BROOK - STATION 619,B,7.72,1009,0,0,20,30,25,25,0,0,0,50,0,50,0,0,0,2281.690141,923.4,2280.800593,923.04,88.73239437,35.91,3.888888889,3.890405616,141.8828762,57.42,6.218323587,6.22074883,290.8821349,117.72,12.74853801,6.22074883,521.4974055,211.05,22.85575049,22.86466459,0.66716086,0.27,0.029239766,0.02925117,607500,150.1111935,60.75,6.578947368,6.581513261,4844700,1197.10897,484.47,52.46588694,52.48634945,207.7094144,84.06,9.10331384,9.106864275,6.004447739,2.43,0.26326053,0.889547813,0.36,0.038986355,3495600,863.7509266,349.56,37.85575049,37.87051482,NLCD2016,6317100,1560.934025,631.71,68.41130604,68.43798752,57361,271.0560989,109.6925,11.97147168,12.0021555
ME550b071222,sample,ME,550,7/12/2022,,,,,,,550,7/12/2022,7/12/2022,11:00,WEST BRANCH SHEEPSCOT RIVER - STATION 550,AA,8.21,173.1,40,50,5,5,0,0,0,0,0,25,5,50,20,0,0,31981.02298,12942.72,31512.89844,12753.27,24.01779096,9.72,0.075100134,0.076215747,138.9918458,56.25,0.434607254,0.441063351,600.4447739,243,1.877503338,0.441063351,763.4544107,308.97,2.387210725,2.422672773,190.585619,77.13,0.595933467,0.604786067,16251300,4015.641216,1625.13,12.5563251,12.74284948,82303200,20336.84211,8230.32,63.59034268,64.53497809,5351.964418,2165.94,16.73481308,16.98340896,249.7405486,101.07,0.792502629,468.1245367,189.45,1.463757232,21237300,5247.664937,2123.73,16.4086838,16.65243502,NLCD2016,121224600,29954.18829,12122.46,93.66238318,95.05373916,57293,1358.356957,549.7075,4.19921466,4.2695447
ME601b071122,sample,ME,601,7/11/2022,,,,,,,601,7/11/2022,7/11/2022,11:39,WHITNEY BROOK - STATION 601,B,7.75,800,0,40,40,0,0,10,0,10,0,40,10,50,0,0,0,1074.128984,434.7,1073.684211,434.52,37.36100815,15.12,3.47826087,3.47970174,147.2201631,59.58,13.70600414,13.71168186,258.8584136,104.76,24.09937888,13.71168186,443.4395849,179.46,41.28364389,41.30074565,1.33432172,0.54,0.124223602,0.124275062,256500,63.38028169,25.65,5.900621118,5.903065452,1320300,326.2416605,132.03,30.37267081,30.38525269,51.14899926,20.7,4.761904762,4.763877382,2.00148258,0.81,0.186412593,0.444773907,0.18,0.041407867,2800800,692.0681987,280.08,64.43064182,64.45733223,NLCD2016,1791900,442.772424,179.19,41.22153209,41.23860812,57343,220.4365562,89.2075,21.19068828,21.19068828
ME393b071122,sample,ME,393,7/11/2022,,,,,,,393,7/11/2022,7/19/2022,11:00,SHEEPSCOT RIVER - STATION 393,B,6.54,44.9,0,25,35,25,15,0,0,0,0,85,5,10,0,0,0,27861.97183,11275.74,26318.38399,10651.05,1.33432172,0.54,0.004789043,0.005069923,23.12824314,9.36,0.083010073,0.08787866,148.7768718,60.21,0.533978258,0.08787866,173.2394366,70.11,0.621777373,0.658244962,180.800593,73.17,0.648915282,0.686974524,6406200,1582.950334,640.62,5.681400955,6.014618277,86545800,21385.1742,8654.58,76.75398688,81.25565085,3595.997035,1455.3,12.90647,13.66344163,6.893995552,2.79,0.026194601,1543.587843,624.69,5.540124196,8367300,2067.531505,836.73,7.420621618,7.855845198,NLCD2016,107532900,26571.01557,10753.29,95.36660122,100.9599054,57136,588.846008,238.2975,2.00773658,2.12090771
ME756b072022,sample,ME,756,7/20/2022,,,,,,,756,7/20/2022,7/20/2022,11:00,MARTIN STREAM (DIXMONT) - STATION 756,A,7.69,117.8,10,20,15,20,15,15,0,0,5,10,0,85,5,0,0,12450.55597,5038.74,12444.10675,5036.13,1.33432172,0.54,0.010716965,0.010722519,11.11934766,4.5,0.089308041,0.089354326,106.9681245,43.29,0.859143357,0.089354326,119.4217939,48.33,0.959168364,0.959665457,11.78650852,4.77,0.094666524,0.094715585,4067100,1004.966642,406.71,8.071660772,8.075843952,38999700,9636.693847,3899.97,77.39970707,77.43981986,1337.657524,541.35,10.74375737,10.74932537,73.8324685,29.88,0.593312722,6.449221646,2.61,0.051798664,4226400,1044.329133,422.64,8.387811239,8.392158264,NLCD2016,48779100,12053.15048,4877.91,96.8081306,96.85830191,57498,252.7208777,102.2725,1.96851455,1.97081713
ME697b072022,sample,ME,697,7/20/2022,,,,,,,697,7/20/2022,7/20/2022,14:30,HALFMOON STREAM - STATION 697,A,8.33,130.4,5,5,50,25,15,0,0,0,0,70,0,30,0,0,0,20383.32098,8249.13,20375.75982,8246.07,8.895478132,3.6,0.043640966,0.04365716,55.15196442,22.32,0.270573988,0.270674394,250.4077094,101.34,1.228493187,0.270674394,314.455152,127.26,1.54270814,1.543280617,442.1052632,178.92,2.168955999,2.169760868,12375000,3057.820608,1237.5,15.00158199,15.00714886,60463800,14940.4003,6046.38,73.29718407,73.32438362,956.7086731,387.18,4.693585869,4.695327592,76.72349889,31.05,0.376543008,7.561156412,3.06,0.037094821,14961600,3696.960712,1496.16,18.13718538,18.14391583,NLCD2016,77021100,19031.65308,7702.11,93.36875525,93.40340308,57439,556.6667063,225.275,2.74118207,2.74897508
