Kingdom,Phylum,Class,Order,Family,Genus,Species,num_samples_pos,PrimeRef_0363-2025,PrimeRef_0363_QC-2025,PrimeRef_0379-2025,PrimeRef_4614-2025,PrimeStrs_3779-2025,PrimeRef_9677-2025,PrimeRef_9677_QC-2025,OverStrs_8635-2025,OverStrs_9519-2025,PrimeStrs_6989-2025,PrimeStrs_4305-2025,PrimeStrs_8803-2025,PrimeRef_7271-2025,PrimeStrs_8803_QC-2025,PrimeStrs_1863-2025,PrimeStrs_97435-2025,PrimeRef_2325-2025,OverStrs_6365-2025,PrimeStrs_7435-2025,PrimeRef_6366-2025,PrimeStrs_4829-2025,PrimeStrs_4293-2025,PrimeStrs_6327-2025,PrimeStrs_7147-2025,PrimeRef_5379-2025,PrimeRef_6395-2025,OverStrs_6971-2025,MassExtra_Ref_8749-2025,PrimeStrs_5837-2025,PrimeRef_0065-2025,OverRef_7631-2025,PrimeStrs_7587-2025,PrimeStrs_8297-2025,PrimeRef_8541-2025,PrimeStrs_8773-2025,PrimeStrs_8773_QC-2025,OverRef_3809-2025,PrimeRef_1781-2025,PrimeRef_8122-2025,PrimeRef_0783-2025,OverStrs_1871-2025,OverRef_0897-2025,PrimeStrs_0917-2025,MassExtra_Ref_5289_QC-2024,MassExtra_Ref_8749-2024,OverRef_1339-2024,OverRef_1407-2024,OverRef_3355-2024,OverRef_3377-2024,OverRef_3457-2024,OverRef_3809-2024,OverStrs_8329-2024,PrimeRef_0249-2024,PrimeRef_0249_QC-2024,PrimeRef_0783-2024,PrimeRef_1377-2024,PrimeRef_1695-2024,PrimeRef_1747-2024,PrimeRef_3601-2024,PrimeRef_3739-2024,PrimeRef_5529-2024,PrimeRef_7599-2024,PrimeRef_8122-2024,PrimeRef_8211-2024,PrimeStrs_0331-2024,PrimeStrs_3013-2024,PrimeStrs_3543-2024,PrimeStrs_3785-2024,PrimeStrs_4874-2024,PrimeStrs_5395-2024,PrimeStrs_5749-2024,PrimeStrs_5749_QC-2024,PrimeStrs_5773-2024,PrimeStrs_6232-2024,PrimeStrs_6443-2024,PrimeStrs_6827-2024,PrimeStrs_6989-2024,PrimeStrs_6989_QC-2024,PrimeStrs_7435-2024,PrimeStrs_7451-2024,PrimeStrs_7579-2024,PrimeStrs_7673-2024,PrimeStrs_8233-2024,PrimeStrs_8571-2024,PrimeStrs_8773-2024,PrimeStrs_4828-2023,PrimeStrs_4942-2023,PrimeStrs_4946-2023,PrimeRef_5108-2023,PrimeRef_5108_QC-2023,PrimeRef_5122-2023,OverRef_5132-2023,PrimeStrs_0195-2023,PrimeStrs_0213-2023,PrimeStrs_0213_QC-2023,PrimeRef_0231-2023,PrimeRef_0641-2023,PrimeRef_0641_QC-2023,OverStrs_6719-2023,PrimeStrs_5477-2023,PrimeStrs_5799-2023,OverStrs_6089-2023,PrimeRef_6221-2023,PrimeStrs_8803-2023,PrimeRef_5399-2023,PrimeRef_6949-2023,OverRef_6983-2023,PrimeStrs_7023-2023,PrimeRef_6366-2023,OverStrs_3709-2023,OverRef_7631-2023,PrimeStrs_5968-2023,PrimeRef_5994-2023,PrimeRef_8752-2023,PrimeRef_1131-2023,PrimeStrs_1863-2023,PrimeStrs_8209-2023,PrimeStrs_8209_QC-2023,PrimeRef_0065-2023,PrimeStrs_9606-2023,PrimeStrs_9666-2023,PrimeRef_9756-2023,PrimeStrs_0204-2023,PrimeRef_0236-2023,PrimeStrs_0238-2023,PrimeStrs_3361-2023,PrimeRef_0208-2022,PrimeRef_0208_QC-2022,PrimeRef_5379-2022,PrimeRef_0363-2022,PrimeRef_4614-2022,PrimeStrs_0387-2022,PrimeRef_3479-2022,PrimeStrs_6009-2022,PrimeStrs_4990-2022,PrimeStrs_4990_QC-2022,PrimeRef_1351-2022,PrimeRef_4427-2022,PrimeStrs_5837-2022,PrimeRef_5537-2022,PrimeStrs_7407-2022,PrimeStrs_3779-2022,PrimeStrs_6977-2022,OverRef_5948-2022,OverStrs_6365-2022
Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Frustulia,Frustulia_vulgaris,78,0,779,1212,0,0,0,0,6,18,774,35,46,5,0,0,0,169,0,0,0,20,27,101,54,0,0,0,0,294,4,481,135,31,307,7,0,89,0,0,0,1373,0,46,45,335,4,13599,36,0,0,21,294,292,373,0,0,0,179,0,11,671,1627,47,9,0,191,67,181,20,0,121,57,2015,1843,46,115,1059,1331,0,268,26999,12,113,58,72,41,27,186,0,0,0,0,203,73,73,146,0,0,89,78,0,2,0,0,0,127,0,0,0,0,0,225,828,0,107,91,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,11,0,5,466,0,649,307
Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,Neidium_lowei,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,84,0,0,0,4,0,0,0,0,377,279,0,0,0,0,0,283,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chromista,Bacillariophyta,Mediophyceae,Thalassiosirales,Skeletonemataceae,Discostella,Discostella_sp.,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,123,0,0,103,0,0,0,0,81,11,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chromista,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,Amphora_sp.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia_recta,25,16,395,0,0,0,0,0,0,0,0,3,7,0,0,0,59,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,21,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12672,0,0,0,0,0,0,0,509,0,0,0,17,66,42,94,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,138,0,0,55,55,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,163,0,0,7,0,0,0,0,0,0,20,0,0,0,69,0,0,0,0,0,0,0,0,0
Chromista,Bacillariophyta,Mediophyceae,Thalassiosirales,Stephanodiscaceae,Pantocsekiella,Pantocsekiella_costei,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,Neidium_sp.,38,0,0,0,0,0,260,473,0,0,0,0,0,0,0,0,0,0,0,0,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,390,80,588,43,1190,0,443,189,1,2366,301,0,22,0,0,9,371,40,1656,0,33,0,115,170,147,0,28,0,0,13,27,0,7,0,9,0,20,123,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779,0,0,0,77,0,0,0,0,0,0,0,10,0,11,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,17,0,0,0,0,0
Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,Neidium_hitchcockii,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora,NA,35,0,0,0,0,0,0,0,0,29,0,0,0,3,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,54,0,40,0,10,0,0,0,0,0,0,182,573,183,25,0,46,0,0,0,0,0,38,447,9,0,247,0,1560,0,0,0,0,0,99,0,0,0,225,396,444,316,38,294,0,4,5,101,0,8,0,18,48,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,456,0,0,0,117,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Chromista,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,Amphora,Amphora_ovalis,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
